site,log_diam,GTR,GTR_age,forest_age,Ambl_serp,Ambl_subt,Barb_barb,Barb_hatc,Blep_tric,Braa_velu,Brau_eryt,Brau_sale,Bryu_mora,Call_cusp,Caly_inte,Camp_chrys,Camp_somm,Cera_purp,Clim_dend,Dicr_fusc,Dicr_mont,Dicr_poly,Dicr_scop,Eurh_pulc,Fiss_osmu,Hete_dimo,Homa_tric,Hylo_splen,Hypn_ando,Hypn_cupr,Hypn_pall,Isop_pulc,Lopc_hete,Lopc_mino,Lopz_obtu,Lopz_long,Metz_furc,Mniu_stel,Neck_penn,Orth_gymn,Orth_obtu,Orth__spec,Para_long,Plac_aspl,Plac_pore,Plam_cusp,Plat_curv,Plat_dent,Plat_laet,Pleu_schr,Pohl_nut,Ptid_cili,Ptid_pulc,Ptiu_cris,Pyla_poly,Radu_comp,Rhiz_punc,Rhod_rose,Rhyt_triq,Sani_unci,Sciu_oedi,Sciu_popu,Sciu_refl,Sciu_star
2,3.715082518512272,1,12.,0,0,0,0,0,0,0,25.,6.8,0,0,0,0,0,0,0,0,0,0,38.,0,0,0,0,20.,0,0,0,0,0,0,0,2.,0,0,0,0,0.1,22.9,0,0,0,0,0,0,0,5.,0,0,3.,0,0,0,0,0,0,28.,0,0,0,0
2,3.4299810926539824,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.,0,0,0,0,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,15.,0,0,0,0,0,0,0,267.5,0,0,12.,0,0,0,0,0,0,159.70000000000002,0,0,11.3,0
2,3.911515919498908,1,12.,0,0,0,0,0,0,0,0,734.5,0,0,0,0,66.,6.,15.,0,0,0,0,60.,0,0,0,10.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,0,0,0,0,0,66.,0,0,0,0
2,4.0647562669920205,1,12.,0,0,0,0,0,0,0,0,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,88.4,0,0,0,0,0,0,0,0,489.,0,0,0,190.,18.,16.,0,0,0
2,3.103765356199959,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,0,0,0,0,344.,0,0,0,0,0,0,0,0,0,0,0,0,0,2.,0,0,0,87.5,0,0,0,0,0,0,21.,0,63.75,0,0,0,0,32.,1.,0,22.,0
2,2.767293119578746,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.,0,0,0,0,147.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.,0,0,0,0,0,0,8.,1.,0,5.,5.
2,2.7264711250584908,1,12.,0,0,0,0,0,0,0,0,17.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.,0,0,0,0,0,0,0,0,0,56.,0,0,353.,0
2,3.942866449382984,1,12.,0,0,0,0,0,0,100.8,0,99.2,0,0,0,0,0,0,0,0,0,0,7.,0,0,0,0,1357.,0,3.,0,0,0,0,0,0,0,0,0,0,2.1,2.4,0,0,0,0,0,0,0,0,0,0,35.,0,0,6.,0,0,0,40.,0,0,0,0
2,3.3326069286288065,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,184.5,0,5.,0,12.,0,0,0,0,126.4,0,0,56.,0,116.,0,0,0,0
2,3.45038996428519,1,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.,0,0,0,0,0,0,0,0,0,0,0,0,24.,24.,0,0,0,322.40000000000003,0,0,0,0,0,0,0,0,752.5,0,0,0,0,222.5,0,0,0,0
5,3.767924999886652,1,16.,0,0,0,0,0,0,0,0,186.6,0,0,0,0,36.,0,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,0,0,0,0,21.,0,0,0,0,0,0,0,0,0,0,0,0,24.,16.,0,0,0,557.2,0,0,3.,0
5,2.5688421808549076,1,16.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,74.,1.,0,0,0,4.,0,0,0,0,0,0,0,0,16.2,0,0,0,0,117.2,3.6,0,93.,0
5,3.707300378070217,1,16.,0,0,0,0,0,0,0,0,106.16,0,0,0,0,245.70000000000002,0,0,0,0,0,15.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,2.,0,0,0,204.8,0,0,0,3.,0,0,0,0,20.,0,0,0,0,1347.6,0,0,0,0
5,3.1990755360042837,1,16.,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,8.,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,636.,0,0,0,0,0,0,77.7,0,0,0,0,0,0,7.,3.6,0,9.,0
5,2.6164702298441624,1,16.,0,0,0,0,0,0,0,6.,212.6,3.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.,0,0,0,0,8.,0,0,0,0,0,0,0,1.,0,0,0,0,6.,0,16.5,0,0,2.,0,0,0,3.,0,0,0,0,566.,61.9,0,45.,0
5,3.2979213706409163,1,16.,0,0,0,77.,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.8,0,0,0,0,0,0,324.,0,0,35.44,8.64
5,4.163537811551804,1,16.,0,1.,0,0,0,0,0,2.5,552.9,78.,0,0,0,656.,0,0,0,0,0,0,0,0,0,0,20.,0,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591.,0,0,0,20.,0,0,0,0,1602.9,0,0,0,0,382.,0,60.,0,0
5,4.168476093192387,1,16.,0,1281.15,0,0,0,0,0,0,884.15,0,0,0,0,0,0,0,0,0,0,4.,0,0,0,0,516.,0,0,0,0,0,4.,0,0,0,0,0,0,81.,17.,0,0,0,258.4,0,0,0,0,0,0,0,0,1035.,0,0,0,0,1207.,0,0,115.2,0
6,3.460440300138691,1,8.,0,0,0,2.,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,42.,0,0,0,0,30.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,4.,0,0,4.,0,0,0,0,0,0,15.,0,0,3.,13.5
6,2.966143978323911,1,8.,0,0,0,0,0,0,0,0,10.,0,0,0,0,7.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,3.,0,18.,0,0,0,0
6,2.381630638766761,1,8.,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.,0,0,0,0,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,2.
6,3.4899991023802355,1,8.,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,1.,0,0,0,0,0,0,0,35.,2.1,0,34.4,0,0,0,0,0,0,8.,0,0,0,0
6,3.131936233166655,1,8.,0,0,0,0,0,0,0,0,172.5,28.,0,0,0,67.5,0,0,0,0,0,60.,0,0,0,22.,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,61.,0,0,0,6.,0,0,0,0,0,0,0,0,0,42.,0,0,0,0
6,3.274110721947198,1,8.,0,0,0,0,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.2,0,0,0,0,0,0,0,0,0,756.4,0,0,0,0
3,3.518709208262667,1,11.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,227.,0,0,0,0,0,0,0,0,0,301.7,0,0,0,170.,0,0,0,0
3,3.0141531975102716,1,11.,0,0,0,0,0,0,0,0,549.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.,0,0,225.,0
3,2.7470904122612265,1,11.,0,0,0,0,0,0,0,0,4.8,0,0,0,0,4.875,0,0,0,0,0,5.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.2,13.3,0,60.9,19.5
3,2.7054177158606585,1,11.,0,0,0,0,0,0,0,0,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,0,0,0,0,0,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,48.1,0,86.4,21.6
3,3.059962733541566,1,11.,0,0,0,0,0,0,0,0,199.2,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,16.,0,0,0,0,0,0,0,0,0,215.3,0,0,225.7,0
3,3.6755516797556367,1,11.,0,0,0,0,0,0,46.,0,29.,0,0,0,0,185.2,0,0,0,0,0,40.,0,0,0,0,10.,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,12.,0,0,0,0,7.,0,0,0,0,206.4,0,0,155.4,184.
3,3.892222716564229,1,11.,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.,0,0,0,0,1010.,0,0,0,96.,0,0,0,0,0,0,0,0,0,326.6,0,0,0,0
3,3.7380720367369706,1,11.,0,0,0,0,0,0,34.,208.8,104.4,0,0,0,0,0,0,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.,11.,0,0,0,0,0,0,0,0,0,0,8.,0,3.,0,0,0,0,271.8,4.2,0,16.8,0
4,3.528098948612506,1,2.,0,30.,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,0,0,0,2.,0,0,0,0,10.,0,1.,0,0,0,0,0,0,0,0,0,0,1.,17.,0,0,0,683.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25.,0,0,0,0
4,3.2247179666176216,1,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.,0,0,0,0,0,0,0,0,0,0,0,0,0,5.,0,0,0,487.2,0,0,0,0,0,0,0,0,0,0,0,0,0,10.,0,0,136.,0
4,3.36612962066745,1,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.,0,7.,0,0,0,0,0,0,0,0,0,0,17.5,16.5,0,0,0,1197.,0,0,0,0,0,0,0,0,5.,0,0,0,0,0,0,0,0,0
4,2.4928562738769857,1,2.,0,0.5,0,0,0,0,0,0,78.,0,0,0,0,0,0,0,0,0,0,9.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,63.,0,0,0,0
4,3.60020224251385,1,2.,0,0,0,0,5.,0,0,100.,7.5,8.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0.4,2.6,0,0,0,10.,0,0,0,0,0,0,0,0,129.6,0,0,0,0,14.4,0,0,0,0
4,2.6619326039209197,1,2.,0,0,0,0,0,0,0,0,54.52,0,0,0,0,0,0,0,0,0,0,2.,0,0,0,0,10.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.,0,0,0,1.,0,0,0,0,0,0,0,0,0,144.8,0,0,0,0
7,3.1593352073547694,1,9.,0,0,0,0,0,0,0,0,197.,0,0,0,0,0,12.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.,0,0,0,0,0,0,0,0,0,503.,0,0,0,0
7,3.5914685625450953,1,9.,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,15.,0,0,0,0,1020.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.,5.5,0,78.5,0
7,2.639459748068861,1,9.,0,0,0,0,0,0,0,0,32.,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,11.,0,0,0,0,0,0,0,0,3.,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,0,0,425.1,11.7,0,6.3,256.
7,2.8255620277027216,1,9.,0,0,0,0,0,0,0,0,50.4,20.,0,0,0,0,0,0,0,0,0,132.,0,0,0,0,546.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.6,0,0,0,0
7,3.440237592821172,1,9.,0,0,0,0,0,0,0,0,536.,0,0,0,0,0,6.,0,0,0,0,52.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.,7.,0,0,0,0,0,0,0,0,323.,48.7,0,0,0
7,3.355079784480865,1,9.,0,3.6,0,0,0,0,0,0,0,161.,0,0,0,0,90.00000000000001,0,0,0,0,15.,0,0,0,0,10.,0,0,0,0,9.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.,0,1.,0,0,0,0,0,0,0,0,0,94.8,6.4,0,10.4,0
11,3.6088603052569646,1,2.,0,7.2,0,0,0,0,0.8,0,34.,0,0,0,0,79.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,19.,0,0,0,0,17.,0,0,0,0,0,0,0,0,0,0,0,0,0,10.,0,0,0,1.1
11,3.642761856932646,1,2.,0,6.,0,0,0,0,33.,0,0,0,0,0,0,0,0,0,0,0,0,33.,0,0,0,0,80.,0,0,0,0,0,0,0,0,0,0,0,0,6.4,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.,0,0,0,0
11,3.7380720367369706,1,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.,0,0,0,0,0,0,0,0,0,0,0,0,14.,5.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3.7380720367369706,1,2.,0,31.2,0,0,0,0,0,0,8.,0,0,0,0,0,0,0,0,0,0,6.,0,0,0,0,240.,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,3.,0,0,0,0,0,0,0,0,0,0,0,0,0,11.,0,0,0,0
11,3.3211782328051838,1,2.,0,0,0,0,0,0,0,0,24.,0,0,0,0,7.,0,0,0,0,0,15.,0,0,0,0,300.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.,0,0,0,0,0,1.,0,0,0
11,3.261989361414853,1,2.,0,0,0,0,0,0,144.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.,0,0,0,0,0,0,0,0,0,0,0,0,1.8,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0
11,2.8255620277027216,1,2.,0,0,0,0,0,0,0,0,43.8,0,0,0,0,0,0,0,0,0,0,4.,0,0,0,0,310.,0,0,0,0,0,0,0,0,0,0,0,0,0.3,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.,0,0,0,0
11,2.966143978323911,1,2.,0,0,0,0,0,0,0,0,7.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.,0,0,0,0
14,3.4996610132919725,1,6.,0,0,0,0,0,0,21.6,0,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,0,0,0,0,0,52.,0,0,225.9,0
14,3.528098948612506,1,6.,0,0,0,0,0,0,0,0,45.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980.,0,0,0,0,10.,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.,0,0,4320.,0,0,0,0
14,3.1593352073547694,1,6.,0,0,0,0,0,0,1.,0,7.8,0,0,0,0,0,0,0,0,0,0,62.,0,0,0,0,94.,0,0,0,0,9.1,0,0,0,0,0,0,0,3.6,2.4,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,1576.8,0,0,20.400000000000002,0
14,2.7054177158606585,1,6.,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,59.,0,0,0,0,350.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.,0,0,0,0,199.,0,0,0,0,0,0,44.,0,0,1.2,3.8
14,3.274110721947198,1,6.,0,0,0,0,0,0,22.,0,0,0,0,0,0,0,0,0,0,0,0,6.,0,0,0,0,1944.,0,0,0,0,0,0,0,0,0,0,0,0,1.6,41.4,0,0,0,0,0,0,0,6.,0,0,3.,0,0,0,0,0,0,94.,0,0,0,0
14,3.6994572006091913,1,6.,0,0,0,0,0,0,0,0,14.,0,0,0,0,0,0,0,0,0,0,345.,0,0,0,0,1600.,0,0,0,0,0,0,0,0,0,0,0,0,7.2,1.8,0,0,0,0,0,0,0,14.,0,0,61.1,0,79.8,0,0,0,0,260.,0,0,0,0
14,3.753109914101511,1,6.,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.,0,0,0,0,0,0,0,0,0,0,0,0,28.,7.,0,0,0,0,0,0,0,0,0,0,0,0,139.20000000000002,0,0,0,250.5,129.6,0,0,0,0
14,2.966143978323911,1,6.,0,0,0,0,0,0,0,0,5.,0,0,0,0,0,0,0,0,0,0,12.,0,0,0,0,60.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.,0,0,0,0,0,0,0,0,0,430.,0,0,153.6,38.4
13,3.7752510399787247,1,3.,0,0,0,0,0,0,0,0,0,24.,0,0,0,88.35,0,15.,0,0,0,32.,0,0,0,0,1650.,0,30.,0,0,0,0,0,0,0,0,0,0,46.7,3.3,0,0,0,0,0,0,0,2.,0,0,0,0,35.,0,0,0,0,65.,0,0,0,0
13,3.8725499509655243,1,3.,0,43.5,0,0,0,0,0,0,0,6.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5,0,8.,0,0,16.5,0,0,0,0,0,0,0,44.,7.,0,0,0,0,0,0,0,0,0,0,0,0,214.3,0,0,0,0,2.,0,0,0,0
13,3.6088603052569646,1,3.,0,21.6,0,0,0,0,0,0,13.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.,0,0,0,0,0,0,0,0,0,0,0,0,0,1.,0,0,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,1680.,0,0,0,0,2.4
13,3.4899991023802355,1,3.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,12.8,0,0,0,1.
13,3.36612962066745,1,3.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.,0,0,0,0,811.2,0,0,0,0,0,0,0,0,0,0,0,0,23.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.,0,0,0,0
13,3.2860869129939134,1,3.,0,0,0,0,0,0,0,0,106.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.,0,0,0,0,0,0,0,0,0,0,0,0,0,300.,0,0,0,0
12,3.7897440472812916,1,8.,0,0,0,0,0,0,0,0,598.2,0,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,0,0,2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.,0,0,0,0,0,0,0,0,15.,0,2.,0,0,1620.,0,0,1354.8,0
12,3.36612962066745,1,8.,0,0,0,0,0,0,0,0,284.40000000000003,0,0,0,0,0,0,0,0,0,0,3.,0,0,0,0,80.,0,0,0,0,0,0,0,0,0,0,0,0,190.298,33.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005.15,31.6,0,217.,0
