species,Agaricoid,Corti_pileate,Corti_resupinate,Discomycetoid,Gasteromycetoid,Polyp_pileate,Polyp_resupinate,Ramarioid,Stromatoid,Tremelloid,spore_volume,ornamented_spores,thick_spores,cystidia_or_paraphyses
Acanthophysellum cerussatum,0,0,1,0,0,0,0,0,0,0,464.75,0,0,1
Aleurodiscus wakefieldiae,0,0,1,0,0,0,0,0,0,0,6936.,1,1,1
Amylocorticium cebennense,0,0,1,0,0,0,0,0,0,0,34.171875,0,0,1
Antrodia malicola,0,0,0,0,0,0,1,0,0,0,89.78125,0,0,1
Antrodia mellita,0,0,0,0,0,0,1,0,0,0,78.02999999999999,0,0,1
Antrodia serialis,0,0,0,0,0,0,1,0,0,0,51.046875,0,0,1
Antrodiella hoehnelii,0,0,0,0,0,1,0,0,0,0,12.25,0,0,1
Antrodiella romellii,0,0,0,0,0,0,1,0,0,0,18.984375,0,0,1
Antrodiella semisupina,0,0,0,0,0,1,0,0,0,0,10.693,0,0,1
Armillaria mellea,1,0,0,0,0,0,0,0,0,0,371.09375,0,1,1
Artomyces pyxidatus,0,0,0,0,0,0,0,1,0,0,28.392000000000003,1,0,1
Ascocoryne cylichnium,0,0,0,1,0,0,0,0,0,0,727.375,0,1,1
Athelia acrospora,0,0,1,0,0,0,0,0,0,0,47.265625,0,0,1
Athelia arachnoidea,0,0,1,0,0,0,0,0,0,0,203.0625,0,0,1
Athelia binucleospora,0,0,1,0,0,0,0,0,0,0,39.703125,0,0,1
Athelia bombacina,0,0,1,0,0,0,0,0,0,0,39.703125,0,0,1
Athelia decipiens,0,0,1,0,0,0,0,0,0,0,50.171875,0,0,1
Athelia epiphylla,0,0,1,0,0,0,0,0,0,0,371.953125,0,0,1
Athelia fibulata,0,0,1,0,0,0,0,0,0,0,128.,0,0,1
Athelopsis glaucina,0,0,1,0,0,0,0,0,0,0,48.09375,0,0,1
Auricularia auriculajudae,0,0,0,0,0,0,0,0,0,1,882.,0,0,1
Auricularia mesenterica,0,1,0,0,0,0,0,0,0,0,686.5625,0,0,1
Basidiodendron caesiocinereum,0,0,1,0,0,0,0,0,0,0,578.,1,1,1
Basidiodendron eyrei,0,0,1,0,0,0,0,0,0,0,528.,0,0,1
Basidioradulum crustosum,0,0,1,0,0,0,0,0,0,0,43.484375,0,0,1
Bertia moriformis,0,0,0,0,0,0,0,0,1,0,1322.5,0,0,1
Biscogniauxia nummularia,0,0,0,0,0,0,0,0,1,0,903.125,0,0,1
Bisporella citrina,0,0,0,1,0,0,0,0,0,0,108.89999999999999,0,0,1
Bjerkandera adusta,0,0,0,0,0,1,0,0,0,0,35.921875,0,0,1
Botryobasidium asperulum,0,0,1,0,0,0,0,0,0,0,80.,1,0,1
Botryobasidium aureum,0,0,1,0,0,0,0,0,0,0,79.21875,0,0,1
Botryobasidium botryosum,0,0,1,0,0,0,0,0,0,0,126.5625,0,0,1
Botryobasidium candicans,0,0,1,0,0,0,0,0,0,0,85.75,0,0,1
Botryobasidium conspersum,0,0,1,0,0,0,0,0,0,0,60.5,0,0,1
Botryobasidium danicum,0,0,1,0,0,0,0,0,0,0,208.,0,0,1
Botryobasidium intertextum,0,0,1,0,0,0,0,0,0,0,33.,0,0,1
Botryobasidium longisporum,0,0,1,0,0,0,0,0,0,0,163.2,0,0,1
Botryobasidium obtusisporum,0,0,1,0,0,0,0,0,0,0,275.625,0,0,1
Botryobasidium pruinatum,0,0,1,0,0,0,0,0,0,0,58.5,0,0,1
Botryobasidium subcoronatum,0,0,1,0,0,0,0,0,0,0,51.046875,0,0,1
Botryobasidium vagum,0,0,1,0,0,0,0,0,0,0,275.625,0,0,1
Botryohypochnus isabellinus,0,0,1,0,0,0,0,0,0,0,614.125,1,0,1
Brevicellicium olivascens,0,0,1,0,0,0,0,0,0,0,107.171875,0,0,1
Byssomerulius corium,0,0,1,0,0,0,0,0,0,0,41.59375,0,0,1
Calocera cornea,0,0,0,0,0,0,0,1,0,0,89.78125,0,0,1
Calocera viscosa,0,0,0,0,0,0,0,1,0,0,144.,0,0,1
Ceraceomyces serpens,0,0,1,0,0,0,0,0,0,0,24.046875,0,0,1
Ceraceomyces sublaevis,0,0,1,0,0,0,0,0,0,0,47.53125,0,0,1
Ceraceomyces tessulatus,0,0,1,0,0,0,0,0,0,0,112.,0,0,1
Ceriporia excelsa,0,0,0,0,0,0,1,0,0,0,21.515625,0,0,1
Ceriporia mellita,0,0,0,0,0,0,1,0,0,0,147.21443136834824,0,0,1
Ceriporia purpurea,0,0,0,0,0,0,1,0,0,0,19.140625,0,0,1
Ceriporia reticulata,0,0,0,0,0,0,1,0,0,0,66.171875,0,0,1
Ceriporia sulphuricolor,0,0,0,0,0,0,1,0,0,0,16.94,0,0,1
Ceriporia viridans,0,0,0,0,0,0,1,0,0,0,16.,0,0,1
Ceriporiopsis gilvescens,0,0,0,0,0,0,1,0,0,0,12.25,0,0,1
Ceriporiopsis resinascens,0,0,0,0,0,0,1,0,0,0,31.25,0,0,1
Cerrena unicolor,0,0,0,0,0,1,0,0,0,0,63.375,0,0,1
Chlorociboria aeruginascens,0,0,0,1,0,0,0,0,0,0,17.609375,0,0,1
Clavulicium macounii,0,0,1,0,0,0,0,0,0,0,578.1875,0,0,1
Clavulina cinerea,0,0,0,0,0,0,0,1,0,0,618.75,0,0,1
Climacodon pulcherrimus,0,0,0,0,0,1,0,0,0,0,12.25,0,0,1
Coniophora puteana,0,0,1,0,0,0,0,0,0,0,443.625,0,1,1
Coprinellus domesticus,1,0,0,0,0,0,0,0,0,0,179.85999999999996,0,0,1
Coprinellus micaceus,1,0,0,0,0,0,0,0,0,0,272.25,0,0,1
Craterellus tubaeformis,1,0,0,0,0,0,0,0,0,0,640.,0,1,1
Crepidotus applanatus,1,0,0,0,0,0,0,0,0,0,125.,1,0,1
Crustomyces subabruptus,0,0,1,0,0,0,0,0,0,0,20.25,0,0,1
Cyathus striatus,0,0,0,0,1,0,0,0,0,0,1051.09375,0,1,1
Cylindrobasidium evolvens,0,0,1,0,0,0,0,0,0,0,231.25,0,0,1
Cyphellopsis anomala,0,0,0,0,0,0,1,0,0,0,147.08749999999998,0,0,1
Dacrymyces stillatus,0,0,0,0,0,0,0,0,0,1,468.875,0,0,1
Dacryobolus sudans,0,0,1,0,0,0,0,0,0,0,12.375,0,0,1
Daedalea quercina,0,0,0,0,0,1,0,0,0,0,56.25,0,0,1
Daedaleopsis confragosa,0,0,0,0,0,1,0,0,0,0,50.625,0,0,1
Datronia mollis,0,0,0,0,0,1,0,0,0,0,134.75,0,0,1
Dentipellis fragilis,0,0,1,0,0,0,0,0,0,0,106.3125,1,1,1
Diatrype disciformis,0,0,0,0,0,0,0,0,1,0,24.5,0,0,1
Diatrype stigma,0,0,0,0,0,0,0,0,1,0,40.,0,0,1
Eichleriella deglubens,0,0,1,0,0,0,0,0,0,0,1184.,0,0,1
Elmerina caryae,0,0,0,0,0,0,1,0,0,0,37.5,0,0,1
Eutypa flavovirens,0,0,0,0,0,0,0,0,1,0,35.4375,0,0,1
Eutypa spinosa,0,0,0,0,0,0,0,0,1,0,45.5625,0,0,1
Eutypella quaternata,0,0,0,0,0,0,0,0,1,0,171.640625,0,0,1
Exidia thuretiana,0,0,0,0,0,0,0,0,0,1,605.46875,0,0,1
Exidia truncata,0,0,0,0,0,0,0,0,0,1,412.5,0,0,1
Exidiopsis calcea,0,0,1,0,0,0,0,0,0,0,683.4375,0,0,1
Exidiopsis effusa,0,0,1,0,0,0,0,0,0,0,408.375,0,0,1
Exidiopsis griseobrunnea,0,0,1,0,0,0,0,0,0,0,258.1875,0,0,1
Exidiopsis opalea,0,0,1,0,0,0,0,0,0,0,429.6875,0,0,1
Fibulomyces mutabilis,0,0,1,0,0,0,0,0,0,0,22.78125,0,0,1
Fomes fomentarius,0,0,0,0,0,1,0,0,0,0,453.75,0,0,1
Fomitopsis pinicola,0,0,0,0,0,1,0,0,0,0,120.,0,0,1
Fuscoporia ferrea,0,0,0,0,0,0,1,0,0,0,35.4375,0,0,1
Fuscoporia ferruginosa,0,0,0,0,0,0,1,0,0,0,52.8125,0,0,1
Galerina marginata,1,0,0,0,0,0,0,0,0,0,314.09375,1,0,1
Galzinia incrustans,0,0,1,0,0,0,0,0,0,0,20.,0,0,1
Ganoderma adspersum,0,0,0,0,0,1,0,0,0,0,361.328125,1,1,1
Ganoderma applanatum,0,0,0,0,0,1,0,0,0,0,199.828125,1,1,1
Gloeocystidiellum leucoxanthum,0,0,1,0,0,0,0,0,0,0,529.,0,0,1
Gloeocystidiellum porosum,0,0,1,0,0,0,0,0,0,0,45.,1,0,1
Gloeodontia columbiensis,0,0,1,0,0,0,0,0,0,0,110.94,1,1,1
Hapalopilus nidulans,0,0,0,0,0,1,0,0,0,0,21.515625,0,0,1
Helicogloea farinacea,0,0,1,0,0,0,0,0,0,0,1400.,0,0,1
Helvella lacunosa,1,0,0,0,0,0,0,0,0,0,2117.5,0,0,1
Henningsomyces candidus,0,0,0,0,0,0,1,0,0,0,104.28750000000001,0,0,1
Hericium alpestre,0,0,1,0,0,0,0,0,0,0,143.75,1,0,1
Heterochaete shearii,0,0,1,0,0,0,0,0,0,0,745.1740000000001,0,0,1
Humaria hemisphaerica,0,0,0,1,0,0,0,0,0,0,3306.25,1,0,1
Hymenochaete corrugata,0,0,1,0,0,0,0,0,0,0,14.546875,0,0,1
Hymenochaete fuliginosa,0,0,1,0,0,0,0,0,0,0,23.,0,0,1
Hymenochaete rubiginosa,0,1,0,0,0,0,0,0,0,0,31.25,0,0,1
Hymenochaete tabacina,0,1,0,0,0,0,0,0,0,0,11.25,0,0,1
Hyphoderma argillaceum,0,0,1,0,0,0,0,0,0,0,151.875,0,0,1
Hyphoderma clavigerum,0,0,1,0,0,0,0,0,0,0,149.015625,0,0,1
Hyphoderma cremeoalbum,0,0,1,0,0,0,0,0,0,0,396.75,0,0,1
Hyphoderma guttuliferum,0,0,1,0,0,0,0,0,0,0,87.140625,0,0,1
Hyphoderma litschaueri,0,0,1,0,0,0,0,0,0,0,128.625,0,0,1
Hyphoderma macedonicum,0,0,1,0,0,0,0,0,0,0,35.4375,0,0,1
Hyphoderma medioburiense,0,0,1,0,0,0,0,0,0,0,304.59375,0,0,1
Hyphoderma nemorale,0,0,1,0,0,0,0,0,0,0,222.75,0,0,1
Hyphoderma obtusiforme,0,0,1,0,0,0,0,0,0,0,332.75,0,0,1
Hyphoderma pallidum,0,0,1,0,0,0,0,0,0,0,72.,0,0,1
Hyphoderma roseocremeum,0,0,1,0,0,0,0,0,0,0,128.625,0,0,1
Hyphoderma setigerum,0,0,1,0,0,0,0,0,0,0,119.53125,0,0,1
Hyphoderma tibia,0,0,1,0,0,0,0,0,0,0,335.,0,0,1
Hyphoderma transiens,0,0,1,0,0,0,0,0,0,0,154.6875,0,0,1
Hyphoderma tsugae,0,0,1,0,0,0,0,0,0,0,182.25,0,0,1
Hyphodermella corrugata,0,0,1,0,0,0,0,0,0,0,149.015625,0,0,1
Hyphodermella rosae,0,0,1,0,0,0,0,0,0,0,193.75,0,0,1
Hyphodontia abieticola,0,0,1,0,0,0,0,0,0,0,70.4375,0,0,1
Hyphodontia aff.borealis,0,0,1,0,0,0,0,0,0,0,70.3125,0,0,1
Hyphodontia alienata,0,0,1,0,0,0,0,0,0,0,58.09375,0,0,1
Hyphodontia alutacea,0,0,1,0,0,0,0,0,0,0,14.625,0,0,1
Hyphodontia alutaria,0,0,1,0,0,0,0,0,0,0,50.171875,0,0,1
Hyphodontia arguta,0,0,1,0,0,0,0,0,0,0,66.796875,0,0,1
Hyphodontia aspera,0,0,1,0,0,0,0,0,0,0,88.,0,0,1
Hyphodontia barbajovis,0,0,1,0,0,0,0,0,0,0,80.,0,0,1
Hyphodontia breviseta,0,0,1,0,0,0,0,0,0,0,47.53125,0,0,1
Hyphodontia hastata,0,0,1,0,0,0,0,0,0,0,37.5,0,0,1
Hyphodontia juniperi,0,0,1,0,0,0,0,0,0,0,67.375,0,0,1
Hyphodontia nespori,0,0,1,0,0,0,0,0,0,0,25.3125,0,0,1
Hyphodontia pruni,0,0,1,0,0,0,0,0,0,0,117.40625,0,0,1
Hyphodontia quercina,0,0,1,0,0,0,0,0,0,0,58.5,0,0,1
Hyphodontia sambuci,0,0,1,0,0,0,0,0,0,0,73.828125,0,1,1
Hyphodontia spathulata,0,0,1,0,0,0,0,0,0,0,104.869125,0,0,1
Hyphodontia subalutacea,0,0,1,0,0,0,0,0,0,0,21.4375,0,0,1
Hypholoma fasciculare,1,0,0,0,0,0,0,0,0,0,112.,0,0,1
Hypochnicium eichleri,0,0,1,0,0,0,0,0,0,0,279.,1,1,1
Hypochnicium geogenium,0,0,1,0,0,0,0,0,0,0,121.921875,0,1,1
Hypochnicium lundellii,0,0,1,0,0,0,0,0,0,0,206.71875,0,1,1
Hypochnicium polonense,0,0,1,0,0,0,0,0,0,0,151.875,0,1,1
Hypochnicium punctulatum,0,0,1,0,0,0,0,0,0,0,135.375,1,1,1
Hypocrea citrina,0,0,1,0,0,0,0,0,0,0,42.875,1,0,1
Hypocrea parmastoi,0,0,1,0,0,0,0,0,0,0,61.25,1,0,1
Hypoxylon fragiforme,0,0,0,0,0,0,0,0,1,0,355.4375,0,0,1
Hypoxylon multiforme,0,0,0,0,0,0,0,0,1,0,225.625,0,0,1
Hypoxylon rubiginosum,0,0,0,0,0,0,0,0,1,0,275.,0,0,1
Hypoxylon serpens,0,0,0,0,0,0,0,0,1,0,488.28125,0,0,1
Ischnoderma benzoinum,0,0,0,0,0,1,0,0,0,0,18.375,0,0,1
Ischnoderma resinosum,0,0,0,0,0,1,0,0,0,0,18.375,0,0,1
Junghuhnia nitida,0,0,0,0,0,0,1,0,0,0,23.4375,0,0,1
Kretzschmaria deusta,0,0,0,0,0,0,0,0,1,0,1828.125,0,0,1
Laetiporus sulphureus,0,0,0,0,0,1,0,0,0,0,126.5625,0,0,1
Laxitextum bicolor,0,1,0,0,0,0,0,0,0,0,29.6875,1,0,1
Lentinus strigosus,1,0,0,0,0,0,0,0,0,0,39.703125,0,0,1
Lenzites betulina,0,0,0,0,0,1,0,0,0,0,34.375,0,0,1
Leptosporomyces fuscostratus,0,0,1,0,0,0,0,0,0,0,11.484375,0,0,1
Litschauerella,0,0,1,0,0,0,0,0,0,0,205.7,1,0,1
Lycoperdon perlatum,0,0,0,0,1,0,0,0,0,0,64.,1,1,1
Lycoperdon pyriforme,0,0,0,0,1,0,0,0,0,0,91.125,1,1,1
Marasmius alliaceus,1,0,0,0,0,0,0,0,0,0,618.75,0,1,1
Melogramma spiniferum,0,0,0,0,0,0,0,0,1,0,4594.21875,0,0,1
Mensularia nodulosa,0,0,0,0,0,1,0,0,0,0,66.796875,0,0,1
Merulius tremellosus,0,1,0,0,0,0,0,0,0,0,6.640625,0,0,1
Mucronella calva,0,0,0,0,0,0,0,1,0,0,45.,0,0,1
Mutatoderma mutatum,0,0,1,0,0,0,0,0,0,0,171.5,0,0,1
Mycena arcangeliana,1,0,0,0,0,0,0,0,0,0,229.89999999999998,0,0,1
Mycena crocata,1,0,0,0,0,0,0,0,0,0,287.375,0,0,1
Mycena galericulata,1,0,0,0,0,0,0,0,0,0,574.98,0,0,1
Mycena haematopus,1,0,0,0,0,0,0,0,0,0,281.03125,0,0,1
Mycena hiemalis,1,0,0,0,0,0,0,0,0,0,205.057,0,0,1
Mycena renati,1,0,0,0,0,0,0,0,0,0,297.,0,0,1
Mycoacia aurea,0,0,1,0,0,0,0,0,0,0,13.78125,0,0,1
Mycoacia fuscoatra,0,0,1,0,0,0,0,0,0,0,31.640625,0,0,1
Mycoacia nothofagi,0,0,1,0,0,0,0,0,0,0,31.25,0,0,1
Mycoacia uda,0,0,1,0,0,0,0,0,0,0,26.578125,0,0,1
Neobulgaria pura,0,0,0,0,0,0,0,0,0,1,132.,0,0,1
Oudemansiella mucida,1,0,0,0,0,0,0,0,0,0,2704.,0,1,1
Oxyporus latemarginatus,0,0,0,0,0,0,1,0,0,0,76.5625,0,0,1
Panellus stipticus,1,0,0,0,0,0,0,0,0,0,11.559999999999999,0,0,1
Peniophora boidinii,0,0,1,0,0,0,0,0,0,0,91.875,0,0,1
Peniophora cinerea,0,0,1,0,0,0,0,0,0,0,62.390625,0,0,1
Peniophora incarnata,0,0,1,0,0,0,0,0,0,0,144.,0,0,1
Peniophora limitata,0,0,1,0,0,0,0,0,0,0,105.625,0,0,1
Peniophora lycii,0,0,1,0,0,0,0,0,0,0,168.,0,0,1
Peniophora proxima,0,0,1,0,0,0,0,0,0,0,414.,0,0,1
Peniophora quercina,0,0,1,0,0,0,0,0,0,0,134.75,0,0,1
Peniophorella praetermissa,0,0,1,0,0,0,0,0,0,0,225.625,0,0,1
Peniophorella pubera,0,0,1,0,0,0,0,0,0,0,153.53125,0,0,1
Peziza micropus,0,0,0,1,0,0,0,0,0,0,986.90625,0,0,1
Phanerochaete chrysosporium,0,0,1,0,0,0,0,0,0,0,82.6875,0,0,1
Phanerochaete laevis,0,0,1,0,0,0,0,0,0,0,43.484375,0,0,1
Phanerochaete martelliana,0,0,1,0,0,0,0,0,0,0,212.625,0,0,1
Phanerochaete raduloides,0,0,1,0,0,0,0,0,0,0,31.25,0,0,1
Phanerochaete sanguinea,0,0,1,0,0,0,0,0,0,0,41.59375,0,0,1
Phanerochaete septocystidia,0,0,1,0,0,0,0,0,0,0,13.78125,0,0,1
Phanerochaete sordida,0,0,1,0,0,0,0,0,0,0,45.375,0,0,1
Phanerochaete tuberculata,0,0,1,0,0,0,0,0,0,0,70.4375,0,0,1
Phanerochaete velutina,0,0,1,0,0,0,0,0,0,0,45.375,0,0,1
Phlebia deflectens,0,0,1,0,0,0,0,0,0,0,34.03125,0,0,1
Phlebia lilascens,0,0,1,0,0,0,0,0,0,0,21.515625,0,0,1
Phlebia livida,0,0,1,0,0,0,0,0,0,0,27.84375,0,0,1
Phlebia radiata,0,0,1,0,0,0,0,0,0,0,13.78125,0,0,1
Phlebia rufa,0,0,1,0,0,0,0,0,0,0,27.84375,0,0,1
Phlebia subcretacea,0,0,1,0,0,0,0,0,0,0,14.625,0,0,1
Phlebia subochracea,0,0,1,0,0,0,0,0,0,0,63.,0,0,1
Phlebiella ardosiaca,0,0,1,0,0,0,0,0,0,0,166.375,1,1,1
Phlebiella fibrillosa,0,0,1,0,0,0,0,0,0,0,52.8125,1,0,1
Phlebiella subflavidogrisea,0,0,1,0,0,0,0,0,0,0,20.25,1,0,1
Phlebiella tulasnelloidea,0,0,1,0,0,0,0,0,0,0,111.375,1,0,1
Piloderma byssinum,0,0,1,0,0,0,0,0,0,0,66.796875,0,1,1
Pleurotus ostreatus,1,0,0,0,0,0,0,0,0,0,106.61375,0,0,1
Plicaturopsis crispa,0,1,0,0,0,0,0,0,0,0,3.75,0,0,1
Pluteus cervinus,1,0,0,0,0,0,0,0,0,0,201.20624999999998,0,0,1
Pluteus leoninus,1,0,0,0,0,0,0,0,0,0,196.625,0,0,1
Pluteus salicinus,1,0,0,0,0,0,0,0,0,0,279.,0,0,1
Polyporus varius,0,0,0,0,0,1,0,0,0,0,71.9055,0,0,1
Porostereum crassum,0,0,1,0,0,0,0,0,0,0,79.625,0,0,1
Porostereum spadiceum,0,1,0,0,0,0,0,0,0,0,73.9375,0,0,1
Porotheleum fimbriatum,0,0,1,0,0,0,0,0,0,0,29.6875,0,0,1
Postia hibernica,0,0,0,0,0,0,1,0,0,0,8.59375,0,0,1
Postia septentrionalis,0,0,0,0,0,0,1,0,0,0,8.474625000000001,0,0,1
Postia simanii,0,0,0,0,0,1,0,0,0,0,4.5,0,0,1
Postia subcaesia,0,0,0,0,0,1,0,0,0,0,5.445000000000001,0,0,1
Postia tephroleuca,0,0,0,0,0,1,0,0,0,0,8.203125,0,0,1
Postia undosa,0,0,0,0,0,1,0,0,0,0,8.203125,0,0,1
Propolis farinosa,0,0,0,1,0,0,0,0,0,0,774.,0,0,1
Pseudoclitocybe cyathiformis,1,0,0,0,0,0,0,0,0,0,360.,0,0,1
Pseudotomentella tristis,0,0,1,0,0,0,0,0,0,0,392.,1,0,1
Pycnoporus cinnabarinus,0,0,0,0,0,1,0,0,0,0,49.15625,0,0,1
Radulomyces confluens,0,0,1,0,0,0,0,0,0,0,600.625,0,1,1
Ramaria stricta,0,0,0,0,0,0,0,1,0,0,177.1875,1,0,1
Resinicium bicolor,0,0,1,0,0,0,0,0,0,0,56.25,0,0,1
Resupinatus applicatus,1,0,0,0,0,0,0,0,0,0,125.,0,0,1
Rigidoporus sanguinolentus,0,0,0,0,0,0,1,0,0,0,196.625,0,0,1
Rigidoporus undatus,0,0,0,0,0,0,1,0,0,0,144.703125,0,0,1
Rosellinia mammiformis,0,0,0,0,0,0,0,0,1,0,2227.5,0,0,1
Royoporus badius,0,0,0,0,0,1,0,0,0,0,87.140625,0,0,1
Schizophyllum commune,1,0,0,0,0,0,0,0,0,0,10.125,0,0,1
Schizopora flavipora,0,0,0,0,0,0,1,0,0,0,42.25,0,0,1
Schizopora paradoxa,0,0,0,0,0,0,1,0,0,0,70.4375,0,0,1
Schizopora radula,0,0,0,0,0,0,1,0,0,0,55.125,0,0,1
Scopuloides hydnoides,0,0,1,0,0,0,0,0,0,0,13.5375,0,0,1
Scopuloides rimosa,0,0,1,0,0,0,0,0,0,0,12.25,0,0,1
Scutellinia scutellata,0,0,0,1,0,0,0,0,0,0,2238.5,1,1,1
Scytinostroma hemidichophyticum,0,0,1,0,0,0,0,0,0,0,190.109375,0,0,1
Sebacina dimitica,0,0,1,0,0,0,0,0,0,0,147.21443136834824,0,0,1
Sidera lenis,0,0,0,0,0,0,1,0,0,0,6.640625,0,0,1
Sidera vulgaris,0,0,0,0,0,0,1,0,0,0,4.298124999999999,0,0,1
Sistotrema brinkmannii,0,0,1,0,0,0,0,0,0,0,18.7425,0,0,1
Sistotrema diademiferum,0,0,1,0,0,0,0,0,0,0,50.171875,0,0,1
Sistotrema muscicola,0,0,1,0,0,0,0,0,0,0,36.,0,0,1
Sistotrema oblongisporum,0,0,1,0,0,0,0,0,0,0,13.78125,0,0,1
Sistotrema octosporum,0,0,1,0,0,0,0,0,0,0,37.8125,0,0,1
Sistotrema porulosum,0,0,1,0,0,0,0,0,0,0,26.5625,0,0,1
Sistotrema resinicystidium,0,0,1,0,0,0,0,0,0,0,28.125,0,0,1
Sistotrema subtrigonospermum,0,0,1,0,0,0,0,0,0,0,66.796875,0,0,1
Sistotremastrum suecicum,0,0,1,0,0,0,0,0,0,0,16.078125,0,0,1
Skeletocutis alutacea,0,0,0,0,0,0,1,0,0,0,6.640625,0,0,1
Skeletocutis kuehneri,0,0,0,0,0,0,1,0,0,0,2.2720000000000002,0,0,1
Skeletocutis nivea,0,0,0,0,0,0,1,0,0,0,2.53125,0,0,1
Steccherinum fimbriatum,0,0,1,0,0,0,0,0,0,0,18.500375000000002,0,0,1
Steccherinum ochraceum,0,0,1,0,0,0,0,0,0,0,18.500375000000002,0,0,1
Steccherinum rhois,0,1,0,0,0,0,0,0,0,0,17.71875,0,0,1
Stereum gausapatum,0,1,0,0,0,0,0,0,0,0,120.,0,0,1
Stereum hirsutum,0,1,0,0,0,0,0,0,0,0,58.5,0,0,1
Stereum ochraceoflavum,0,1,0,0,0,0,0,0,0,0,25.,0,0,1
Stereum ostrea,0,1,0,0,0,0,0,0,0,0,39.0625,0,0,1
Stereum rugosum,0,1,0,0,0,0,0,0,0,0,237.5,0,0,1
Stigmatolemma conspersum,0,0,0,0,0,0,1,0,0,0,119.53125,0,0,1
Stigmatolemma urceolatum,0,0,0,0,0,0,1,0,0,0,144.703125,0,0,1
Subulicystidium longisporum,0,0,1,0,0,0,0,0,0,0,102.09375,0,0,1
Tapesia fusca,0,0,0,1,0,0,0,0,0,0,40.,0,0,1
Terana coerulea,0,0,1,0,0,0,0,0,0,0,200.,0,0,1
Thanatephorus fusisporus,0,0,1,0,0,0,0,0,0,0,50.,0,1,1
Tomentella atroarenicolor,0,0,1,0,0,0,0,0,0,0,416.5,1,0,1
Tomentella botryoides,0,0,1,0,0,0,0,0,0,0,295.75,1,0,1
Tomentella bryophila,0,0,1,0,0,0,0,0,0,0,512.,1,0,1
Tomentella cinerascens,0,0,1,0,0,0,0,0,0,0,166.375,1,0,1
Tomentella coerulea,0,0,1,0,0,0,0,0,0,0,330.328125,1,0,1
Tomentella ellisii,0,0,1,0,0,0,0,0,0,0,387.28125,1,0,1
Tomentella ferruginea,0,0,1,0,0,0,0,0,0,0,292.96875,1,0,1
Tomentella fibrosa,0,0,1,0,0,0,0,0,0,0,512.,1,0,1
Tomentella galzinii,0,0,1,0,0,0,0,0,0,0,478.125,1,0,1
Tomentella lapida,0,0,1,0,0,0,0,0,0,0,729.,1,0,1
Tomentella lilacinogrisea,0,0,1,0,0,0,0,0,0,0,392.,1,0,1
Tomentella pilosa,0,0,1,0,0,0,0,0,0,0,478.125,1,0,1
Tomentella ramosissima,0,0,1,0,0,0,0,0,0,0,512.,1,0,1
Tomentella stuposa,0,0,1,0,0,0,0,0,0,0,857.375,1,0,1
Tomentella subclavigera,0,0,1,0,0,0,0,0,0,0,465.484375,1,0,1
Tomentella sublilacina,0,0,1,0,0,0,0,0,0,0,464.0625,1,0,1
Trametes gibbosa,0,0,0,0,0,1,0,0,0,0,22.78125,0,0,1
Trametes hirsuta,0,0,0,0,0,1,0,0,0,0,37.96875,0,0,1
Trametes versicolor,0,0,0,0,0,1,0,0,0,0,22.,0,0,1
Trechispora cohaerens,0,0,1,0,0,0,0,0,0,0,14.,0,1,1
Trechispora confinis,0,0,1,0,0,0,0,0,0,0,16.453125,0,1,1
Trechispora farinacea,0,0,1,0,0,0,0,0,0,0,63.28125,1,1,1
Trechispora hymenocystis,0,0,0,0,0,0,1,0,0,0,76.,1,0,1
Trechispora microspora,0,0,1,0,0,0,0,0,0,0,44.890625,1,0,1
Trechispora mollusca,0,0,0,0,0,0,1,0,0,0,39.609375,1,0,1
Trechispora subsphaerospora,0,0,1,0,0,0,0,0,0,0,64.,0,0,1
Tremella mesenterica,0,0,0,0,0,0,0,0,0,1,731.25,0,0,1
Tremiscus helvelloides,0,0,0,0,0,0,0,0,0,1,338.890625,0,0,1
Trichaptum biforme,0,0,0,0,0,1,0,0,0,0,29.109375,0,0,1
Tulasnella tomaculum,0,0,1,0,0,0,0,0,0,0,41.59375,0,0,1
Tulasnella violea,0,0,1,0,0,0,0,0,0,0,211.25,0,0,1
Tyromyces chioneus,0,0,0,0,0,1,0,0,0,0,13.78125,0,0,1
Vararia investiens,0,0,1,0,0,0,0,0,0,0,105.625,0,0,1
Vesiculomyces citrinus,0,0,1,0,0,0,0,0,0,0,91.125,0,0,1
Vuilleminia comedens,0,0,1,0,0,0,0,0,0,0,738.,0,0,1
Xenasma pruinosum,0,0,1,0,0,0,0,0,0,0,73.5,1,0,1
Xenasmatella vaga,0,0,1,0,0,0,0,0,0,0,94.828125,1,0,1
Xerula radicata,1,0,0,0,0,0,0,0,0,0,1917.625,0,0,1
Xylaria hypoxylon,0,0,0,0,0,0,0,0,1,0,486.,0,0,1
Xylaria polymorpha,0,0,0,0,0,0,0,0,1,0,1632.,0,0,1